method,OnlineNewsPopularity ↓,churn ↑,credit ↑,ecom-offers ↑,medical_charges ↓,sberbank-housing ↓
Excel-plugins,0.8605,0.8618,0.7724,0.5759,0.0817,0.2533
FT-T,0.8629,0.8593,0.7745,0.5775,0.0814,0.2440
MLP,0.8643,0.8553,0.7735,0.5989,0.0816,0.2529
MLP-piecewiselinear,0.8585,0.8580,0.7758,0.5949,0.0812,0.2383
MNCA-periodic,0.8647,0.8606,0.7734,0.5758,0.0809,0.2448
TabR-periodic,0.8624,0.8625,0.7723,0.5762,0.0811,0.2542
XGBoost,0.8545,0.8605,0.7698,0.5763,0.0825,0.2419
qreformer-deubg-d1-h1-m32,0.8668,0.8587,0.7672,0.5842,0.0824,0.2650
qreformer-deubg-d3-h4-m128-mqa,0.8681,0.8600,0.7697,0.5848,0.0835,0.2691
qreformer-deubg-d3-h4-m32,0.8684,0.8600,0.7665,0.5866,0.0821,0.2643
qreformer-deubg-d3-h4-m96-mqa,0.8695,0.8583,0.7668,0.5834,0.0824,0.2549
qtab-naive-cossim,0.8597,0.8595,0.7687,0.5839,0.0814,0.2493
qtab-naive-cossim-t001,0.8649,0.8597,0.7709,0.5848,0.0813,0.2744
qtab-naive-cossim-t01,0.8601,0.8607,0.7697,0.5903,0.0821,0.2640
qtab-naive-cossim-t02,0.8656,0.8595,0.7687,0.5944,0.0971,0.2769
qtab-naive-l2-t001,0.9529,0.8382,0.7508,0.5886,0.1016,0.3834
qtab-naive-l2-t02,0.8980,0.8545,0.7695,0.5866,0.0820,0.2978
qtab-naive-l2-t1,0.8674,0.8481,0.7690,0.5946,0.0822,0.2659
qtab-naive-sdp-t001,0.9126,0.8451,0.7592,0.5822,0.0951,0.3071
qtab-naive-sdp-t02,0.8816,0.8512,0.7647,0.5748,0.0829,0.3216
qtab-naive-sdp-t1,0.8623,0.8601,0.7674,0.5891,0.0820,0.2823
qtabformer-key-k-value-k-cossim-t01,0.8612,0.8605,0.7692,0.6040,0.0823,0.2761
qtabformer-key-k-value-ky-cossim,0.8616,0.8594,,0.5906,0.0824,0.2545
qtabformer-key-k-value-ky-cossim-t01,0.8620,0.8614,0.7706,0.5964,0.0820,0.2595
qtabformer-key-ky-value-ky-cossim,0.8632,0.8608,0.7699,0.5925,0.0825,0.2618
qtabformer-key-ky-value-ky-cossim-t01,0.8614,0.8597,0.7696,0.6030,0.0822,0.2600
qtabformerv3-key-k-value-ky-cossim-t01,0.8611,0.8598,0.7678,0.5933,0.0823,0.2691
qtabformerv3-key-k-value-y-cossim-t01,0.8632,0.8600,0.7693,0.5916,0.0819,0.2694
qtabformerv3-key-ky-value-ky-cossim-t01,0.8624,0.8619,0.7689,0.6009,0.0825,0.2692
qtabformerv4-key-ky-value-ky-cossim-t01,0.8629,,,,0.0823,0.2599
retransformer-periodic,0.8614,0.8590,0.7685,,0.0814,0.2640
tabm,0.8579,0.8605,0.7760,0.5941,0.0812,0.2439
tabm-mini-piecewiselinear,0.8563,0.8606,0.7761,0.5910,0.0811,0.2334
tabm-piecewiselinear,0.8548,0.8608,0.7761,0.5903,0.0811,0.2321
