method,OnlineNewsPopularity ↓,churn ↑,credit ↑,ecom-offers ↑,medical_charges ↓,sberbank-housing ↓
CatBoost,1,2,1,8,6,5
Excel-plugins,8,1,2,7,7,6
FT-T,8,2,1,7,5,4
LightGBM,2,2,2,7,7,5
MLP,10,3,1,1,6,6
MLP-piecewiselinear,6,2,1,2,3,3
MNCA-periodic,10,1,1,7,1,5
SAINT,7,2,1,6,5,5
T2G,9,1,1,7,5,4
TabR-periodic,8,1,2,7,2,6
XGBoost,2,1,2,7,8,4
qreformer-deubg-d1-h1-m32,11,2,3,6,8,8
qtab-naive-cossim,7,2,2,6,5,6
qtab-naive-cossim-cl,5,2,2,5,8,7
qtabformer-query-4-key-k-value-ky-mqa-moh,8,1,2,2,7,6
tabm,5,1,1,3,4,4
tabm-mini-piecewiselinear,4,1,1,4,2,2
tabm-piecewiselinear,3,1,1,4,2,1
