method,OnlineNewsPopularity ↓,churn ↑,credit ↑,ecom-offers ↑,medical_charges ↓,sberbank-housing ↓
CatBoost,1.0,2.0,1.0,6.0,6.0,5.0
Excel-plugins,8.0,1.0,2.0,5.0,7.0,6.0
FT-T,11.0,2.0,1.0,5.0,5.0,4.0
LightGBM,2.0,2.0,2.0,5.0,7.0,5.0
MLP,12.0,3.0,1.0,1.0,6.0,6.0
MLP-piecewiselinear,6.0,2.0,1.0,2.0,3.0,3.0
MNCA,13.0,2.0,1.0,5.0,2.0,7.0
MNCA-periodic,13.0,1.0,1.0,5.0,1.0,5.0
SAINT,7.0,2.0,1.0,4.0,5.0,5.0
T2G,12.0,1.0,1.0,5.0,5.0,4.0
TabR,14.0,2.0,1.0,2.0,5.0,9.0
TabR-periodic,11.0,1.0,2.0,5.0,2.0,6.0
XGBoost,2.0,1.0,2.0,5.0,9.0,4.0
qraugmlp-key-k-value-ky-m32,14.0,2.0,3.0,4.0,7.0,8.0
qraugmlp-key-k-value-ky-m96,14.0,1.0,3.0,19.0,7.0,6.0
qraugresnet-key-k-value-ky-m32,14.0,19.0,19.0,19.0,11.0,9.0
qraugresnet-key-k-value-qky-m32,19.0,19.0,19.0,19.0,19.0,8.0
qreformer-deubg-d1-h1-m32,14.0,2.0,3.0,4.0,9.0,8.0
qreformer-deubg-d3-h4-m32,14.0,2.0,3.0,4.0,8.0,8.0
qtab-naive-cossim,7.0,2.0,2.0,4.0,5.0,6.0
qtab-naive-cossim-cl,5.0,2.0,2.0,4.0,11.0,7.0
qtab-naive-cossim-t001,13.0,2.0,2.0,4.0,5.0,8.0
qtab-naive-cossim-t01,7.0,1.0,2.0,3.0,8.0,8.0
qtab-naive-cossim-t02,13.0,2.0,2.0,2.0,12.0,9.0
qtab-naive-l2-t001,18.0,6.0,6.0,4.0,12.0,12.0
qtab-naive-l2-t02,16.0,3.0,2.0,4.0,7.0,10.0
qtab-naive-l2-t1,14.0,4.0,2.0,2.0,8.0,8.0
qtab-naive-sdp-t001,17.0,5.0,5.0,4.0,12.0,10.0
qtab-naive-sdp-t02,15.0,4.0,4.0,5.0,10.0,11.0
qtab-naive-sdp-t1,10.0,2.0,3.0,4.0,7.0,9.0
qtabformer-key-cossim-t001,9.0,2.0,2.0,1.0,10.0,8.0
qtabformer-key-cossim-t002,8.0,1.0,2.0,2.0,10.0,8.0
qtabformer-key-k-value-k-cossim-t01,9.0,1.0,2.0,1.0,8.0,9.0
qtabformer-key-k-value-ky-cossim,10.0,2.0,2.0,3.0,9.0,6.0
qtabformer-key-k-value-ky-cossim-t01,10.0,1.0,2.0,2.0,7.0,7.0
qtabformer-key-ky-value-ky-cossim,12.0,1.0,2.0,2.0,9.0,7.0
qtabformer-key-ky-value-ky-cossim-t01,9.0,2.0,2.0,1.0,8.0,7.0
qtabformer-key-y-cossim-t001,9.0,2.0,3.0,2.0,10.0,9.0
qtabformer-key-y-cossim-t002,10.0,2.0,19.0,1.0,10.0,9.0
qtabformer-query-1-key-k-value-ky-mqa-4,19.0,1.0,19.0,19.0,19.0,9.0
qtabformer-query-4-key-k-value-ky-mqa,12.0,1.0,2.0,19.0,9.0,7.0
qtabformer-query-4-key-k-value-ky-mqa-d4,12.0,2.0,2.0,19.0,7.0,7.0
qtabformer-query-4-key-k-value-ky-mqa-moh,11.0,1.0,2.0,2.0,7.0,6.0
qtabformerv3-key-k-value-ky-cossim-t01,9.0,2.0,3.0,2.0,8.0,8.0
qtabformerv3-key-k-value-y-cossim-t01,12.0,2.0,2.0,2.0,7.0,8.0
qtabformerv3-key-ky-value-ky-cossim-t01,11.0,1.0,2.0,1.0,9.0,8.0
qtabformerv4-key-ky-value-ky-cossim-t01,11.0,19.0,19.0,19.0,9.0,7.0
tabm,5.0,1.0,1.0,2.0,4.0,4.0
tabm-mini-piecewiselinear,4.0,1.0,1.0,3.0,2.0,2.0
tabm-piecewiselinear,3.0,1.0,1.0,3.0,2.0,1.0
