Model,config.model.backbone.n_blocks,config.model.backbone.d_block,config.model.backbone.dropout,config.optimizer.lr,config.optimizer.weight_decay,config.model.k,has_dropout,has_weight_decay,config.model.backbone.k,config.model.backbone.moe_ratio,config.model.backbone.num_experts
tabm,3.7558,516.6841,0.0954,0.0016,0.0107,32.0000,0.5043,0.4920,,,
tabm-piecewiselinear,2.9970,652.3852,0.0886,0.0013,0.0151,32.0000,0.4385,0.6978,,,
moe-sparse,2.6000,606.4000,0.1644,0.0004,0.0105,,0.7000,0.7000,7.4000,0.5500,24.0000
moe-sparse-shared,2.3000,601.6000,0.1666,0.0004,0.0118,,0.8000,0.6000,6.5000,0.5000,30.4000
moe-mini-sparse,2.9000,600.0000,0.1935,0.0004,0.0033,,1.0000,0.6000,3.4000,0.6750,6.8000
moe-mini-sparse-shared,2.5000,416.0000,0.0562,0.0007,0.0001,,0.5000,0.5000,2.5000,0.5000,12.0000
moe-sparse-piecewiselinear,1.9000,672.0000,0.1846,0.0008,0.0073,,0.6000,0.6000,6.5000,0.5750,41.6000
moe-sparse-shared-piecewiselinear,3.0000,435.2000,0.2028,0.0007,0.0192,,0.7000,0.4000,5.8000,0.5500,46.4000
moe-mini-sparse-piecewiselinear,2.5000,451.2000,0.2224,0.0008,0.0114,,0.8000,0.6000,3.5000,0.5250,15.6000
moe-mini-sparse-shared-piecewiselinear,2.3000,531.2000,0.1678,0.0013,0.0200,,0.7000,0.7000,2.4000,0.4250,17.6000
